ma,year,MAR,NI,DR_SYNCH,MCAP,LEV,M/B,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,Industry_Congnghethongtin,Industry_Daukhi,Industry_Dichvutieudung,Industry_Duocphamvayte,Industry_Hangtieudung,Industry_Nguyenvatlieu,Industry_Taichinh,Industry_Tienichcongdong,Industry_Vienthong
AGM,2017,-0.333216559,0.071142467,1,25.98081329,0.499229755,0.53324481,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2018,0.569156202,0.142681632,4,25.95683133,0.316385756,0.496905518,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2019,0.038839573,0.215091585,6,26.25657627,0.428331552,0.573178277,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2020,-0.241499148,0.097843915,7,27.09042333,0.421377786,1.32681437,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
AGM,2021,1.017372351,0.076772781,4,25.63290146,0.740005171,0.280923219,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
AGM,2022,-0.647091755,-1.718288657,6,25.46205741,0.815274889,0.391406816,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
AGM,2023,0.085909386,-1.932400146,6,24.98566398,0.982356369,3.251998371,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ALT,2016,-0.072547677,0.073211705,3,25.06106998,0.084117015,0.372071741,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2017,-0.218120513,0.100376332,3,25.06910215,0.084697872,0.369202475,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2018,0.098922413,0.097140087,3,24.94126878,0.157590108,0.320960777,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2019,0.043681994,0.123734715,1,24.8755174,0.121330195,0.295216348,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2020,-0.623925624,0.06431221,3,25.54409332,0.269269833,0.580473467,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ALT,2021,-0.055500045,0.042404113,1,25.27122633,0.222704479,0.43929346,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
ALT,2022,0.413586776,0.099874106,4,25.25806825,0.297920352,0.42508586,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ALT,2023,-0.12251052,0.07531176,5,25.21752215,0.325017669,0.405820888,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
AMC,2016,0.060145432,0.152992749,2,24.96925795,0.407589407,1.39746752,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2017,-0.200729786,0.172693269,4,24.72549511,0.429780949,1.08390336,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2018,0.051990085,0.197181159,4,24.66095659,0.454032448,1.093164327,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2019,-0.056149714,0.177113735,1,24.57394521,0.466673439,0.953245671,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2020,-0.41871624,0.162041373,3,24.98946066,0.477264174,1.423779497,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AMC,2021,-0.341471738,0.099355031,4,24.88410014,0.411024487,1.273334341,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
AMC,2022,0.550619928,0.098549267,4,24.90607905,0.332605171,1.311748353,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
AMC,2023,-0.092697467,0.098191706,3,24.62705504,0.346710557,0.968686986,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
AME,2016,0.003084879,0.046252069,3,25.01646126,0.695288199,0.537016034,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2017,-0.193093522,0.164714191,1,25.9618332,0.720513317,1.269833925,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2018,1.050801892,0.099173006,5,25.06447048,0.753086018,0.459742447,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2019,-0.181399777,0.247526367,2,26.01697259,0.725930466,0.654188254,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
AME,2020,-0.53326166,0.105644293,2,26.70377054,0.842658502,1.212951353,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
AME,2021,-0.193119108,0.052846953,2,26.32035357,0.881151729,0.781455215,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
